sample_index,timestamp_ns,relative_to_start_s,translation_error_m,error_x_m,error_y_m,error_z_m,rotation_error_deg
27,43300000000,7.537,0.36256011220513434,0.03617306476776727,0.1274693443081546,-0.3374802373608796,80.76203664110277
28,43500000000,7.737,0.3144505841874709,0.03973550966914485,0.12415485437019291,-0.28615700463817273,80.85492923744121
29,43700000000,7.937,0.27640675609070625,0.04342158145222863,0.11858247814389408,-0.24587284712637048,80.95547316386664
30,43900000000,8.137,0.22517732912780475,0.0441240203745531,0.1092565705389977,-0.19188773325352182,81.06673145112688
31,44100000000,8.337,0.19983469730551753,0.04886057523810694,0.11424721846336211,-0.15650598553401696,81.02831290433583
32,44300000000,8.537,0.19286848675440907,0.05074853952678793,0.1138584651195571,-0.1471702715885661,81.12108766880326
33,44500000000,8.737,0.21633016617173673,0.051645074922697654,0.11230730896125607,-0.17753477232925707,81.22298723652051
34,44700000000,8.937,0.25756440062561026,0.0505998340060313,0.10351273707845468,-0.230356659401717,81.30757283179325
35,44900000000,9.137,0.3313822186068027,0.06354558033823621,0.1490001090772321,-0.28909358609837144,81.24659941453714
36,45100000000,9.337,0.38931033091591866,0.06475806315520038,0.1496128371631124,-0.3535320720532342,81.20137180498118
37,45300000000,9.537,0.4174844678364203,0.06595454771202336,0.15050230585541963,-0.38378683465299224,81.0626489756581
38,45500000000,9.737,0.44160943514529327,0.06693538744496563,0.14989925465819393,-0.4099619013638405,80.74567559963285
39,45700000000,9.937,0.4493272332726052,0.06829090222201861,0.1491049653179949,-0.418328847381622,80.31251949869495
40,45900000000,10.137,0.4589482604428193,0.07145953898764212,0.15154964820393702,-0.4272701068181888,79.61833244583921
41,46000000000,10.237,0.4446806740824569,0.0712574785045712,0.15091675275591887,-0.4121740013601145,79.28271493055529
42,46200000000,10.437,0.43180219322365143,0.07263830795161152,0.14712424738932883,-0.39941365289735153,78.62165987513133
43,46400000000,10.637,0.40633975758132435,0.07220366592430871,0.14237863877800183,-0.37366690037794825,77.85259594580987
44,46600000000,10.837,0.37670050938266986,0.06752233071190128,0.12141346783664009,-0.35014679557619366,77.12534508630579
45,46800000000,11.037,0.32045186382415747,0.06565990433820668,0.11561121046800377,-0.29156855455415087,76.50192876774224
46,47000000000,11.237,0.25115119865295327,0.06109300176940702,0.09685875031157176,-0.22352394101683837,76.05300924906216
47,47300000000,11.537,0.11467816866691326,0.05511700493477123,0.08255195827299627,-0.05743145759173185,75.35637993782048
48,47500000000,11.737,0.10459182034854933,0.04595981774345281,0.058163499503055216,0.07378449269575493,75.17642668184354
49,47700000000,11.937,0.1937804430771615,0.03692645849850995,0.03559216825700845,0.18687026071770663,74.82422220676344
50,48000000000,12.237,0.35450201152070426,0.027389106374535288,0.010064116043397409,0.3532990611259743,75.04141263395115
51,48200000000,12.437,0.44095179581806676,0.019850036322520803,-0.010791827934478304,0.4403725681091015,75.2196130190967
52,48400000000,12.637,0.46496353943616614,0.017182888938681418,-0.01889265725268785,0.4642616814197147,75.57742341797064
53,48600000000,12.837,0.4615321324342752,0.013632329262922571,-0.027702957205366585,0.4604982247851497,76.10432104047206
54,48800000000,13.037,0.4297137553788517,-0.0006482670724426987,-0.07976977354878984,0.4222443303817982,76.89113970266528
55,49000000000,13.237,0.3928892260165894,-0.01329367136273113,-0.12788886903477428,0.37125417088380397,77.7816097956588
56,49200000000,13.437,0.33057621738218523,-0.022567564385360173,-0.16804847009007512,0.2837799362830493,78.62150756941466
57,49400000000,13.637,0.31042370365045696,-0.03476905638072819,-0.21422940300823717,0.22194537930129288,79.54525211757425
58,49600000000,13.837,0.30250482132144413,-0.04551491179902334,-0.26097767178050657,0.14604182468961469,80.41434347823758
59,49800000000,14.037,0.32733225373843733,-0.05649291769644216,-0.31372573702975703,0.0743714764729293,81.52487247636286
60,50000000000,14.237,0.32887191191362153,-0.06183731441058182,-0.3210156642818764,0.03580257362080741,82.25524209644058
61,50300000000,14.537,0.4220049579660708,-0.07948920456528505,-0.41418175473393365,0.014937367607550156,82.46240157150514
62,50500000000,14.737,0.43246964928908127,-0.0838095913336259,-0.42212913194490054,0.042578702659384904,82.71387240137543
63,50700000000,14.937,0.44386262633432716,-0.09019966935984616,-0.42768886060475264,0.07720290939070495,82.78414332560084
64,50900000000,15.137,0.46079040223054396,-0.09044250989508196,-0.43534935253210083,0.12090859539976928,82.79825757603464
65,51200000000,15.437,0.49880598510449087,-0.0947442605559517,-0.4437901450523519,0.20707786705048892,82.72739373819255
66,51500000000,15.737,0.5797991745368188,-0.10296822704557068,-0.45436874491058166,0.34512848427947973,82.44387252462829
67,51900000000,16.137,0.698770385530392,-0.10478857192084409,-0.40814833265619793,0.5574175682906382,82.01410368293438
68,52200000000,16.437,0.8476204349675481,-0.1055982428436722,-0.3366670154405458,0.7706910753325613,81.62078366557937
69,52400000000,16.637,1.0088873962968146,-0.11293384160657394,-0.33333779893777965,0.9455081372605227,81.19388795717349
70,52700000000,16.937,1.2671911611776674,-0.12229934748975207,-0.3040687525646102,1.2240745493164162,80.15619322843199
71,52900000000,17.137,1.400453772882348,-0.1266582610040775,-0.29184196226333914,1.3638389655535252,79.94552134960742
72,53100000000,17.337,1.528991306471099,-0.13183496422393987,-0.2815643421406062,1.4970489232844724,79.78627843127201
73,53300000000,17.537,1.6240065106159063,-0.1366307385491884,-0.28381776714781715,1.5931656106185517,79.47275045436872
74,53500000000,17.737,1.7113646475071,-0.14075485863004028,-0.2944277022089162,1.6799611170146516,79.34113970919226
75,53700000000,17.937,1.7907110496821634,-0.14677658734215365,-0.3069924996553292,1.7580837016528421,79.31227890598612
