group,metric,count,mean,min,p01,p05,p25,median,p75,p95,p99,max
Reinforcement,normalized_area,13328,0.008311040607822747,8.73203e-06,6.736852683e-05,0.0001708345548,0.000897564960405,0.0028803769363400004,0.0086041156335,0.03319507496623,0.07610437085693975,0.40825979964
Reinforcement,pixel_width,13328,333.935764748792,6.000006,16.998336,32.998896,82.58004795,173.99808000000002,393.353568,1216.9827072,2120.915496959999,5170.998528
Reinforcement,pixel_height,13328,297.44842177919867,7.645250400000001,20.999712000000002,35.23443384,84.00023999999999,167.001264,345.36252959999996,1033.940937599999,2024.9526182399984,3113.001072
Reinforcement,pixel_area,13328,110387.0067399045,127.99801597284,720.9758692365762,2070.56415946199,10079.130880272383,32669.686367723523,105418.5318606551,458517.9154399101,1048963.3910675566,6501638.557697311
Reinforcement,aspect_ratio,13328,2.3967200318880812,0.045454922314159214,0.0966046135774505,0.14926508832271998,0.3534412383376738,0.8879319326915971,3.251408678459611,9.100612709722006,14.9529776202274,47.00032989302041
Reinforcement,relative_image_area,13328,0.008311040607822747,8.73203e-06,6.736852683e-05,0.0001708345548,0.000897564960405,0.0028803769363400004,0.0086041156335,0.03319507496623,0.07610437085693975,0.40825979964
Seepage,normalized_width,4366,0.19765508369216672,0.005642,0.015818,0.02936925,0.071373,0.1349105,0.25605374999999997,0.59003675,0.9814074500000004,1.0
Seepage,normalized_height,4366,0.273580708360055,0.005401,0.02069825,0.04184785,0.10715325,0.2070725,0.374228,0.769512,0.9945348,1.0
Seepage,normalized_area,4366,0.06895245325082777,5.730461e-05,0.0006060432942,0.001999268991305,0.009456685874,0.0272485332675,0.07732172529600001,0.2747569647795,0.5844552121708035,0.996903
Seepage,pixel_width,4366,885.0129868699039,25.998336000000002,66.6399744,117.998208,307.000092,593.3724480000001,1141.33536,2684.250576,4556.486304000002,5444.924544
Seepage,pixel_height,4366,933.2963753677508,20.999088,64.7631996,124.99919999999999,338.998716,697.50048,1274.811604,2664.572712,3749.501664000018,5182.999488
Seepage,pixel_area,4366,1109499.011263859,1154.99687795712,7685.613936969062,22458.990740544003,128050.11909161026,403670.14815173525,1201944.6914801702,4617172.166544535,10085015.90642122,20021935.814254947
Seepage,aspect_ratio,4366,1.3974822804241829,0.06518540524259266,0.12829627633314308,0.20351828870337335,0.4440325220661781,0.9033079266079835,1.8524221388262685,4.222733504252588,6.803333817842088,12.897846191823815
Seepage,relative_image_area,4366,0.06895245325082777,5.730461e-05,0.0006060432942,0.001999268991305,0.009456685874,0.0272485332675,0.07732172529600001,0.2747569647795,0.5844552121708035,0.996903
