example_type,split,image_filename,label_filename,annotation_index,class_id,class_name,normalized_width,normalized_height,normalized_area,pixel_width,pixel_height,pixel_area,aspect_ratio,relative_image_area,normalized_aspect_ratio,size_category,near_border,boundary_excess,rounding_warning,extreme_aspect_ratio
largest,train,10554.jpg,10554.txt,1,2,Comb,0.999413,1.0,0.999413,1087.361344,816.0,887286.8567039999,1.3325506666666667,0.999413,0.999413,large,True,0.0,False,False
extreme_aspect_ratio,train,1001.JPG,1001.txt,8,4,Reinforcement,0.003655,0.120614,0.00044084417,10.000079999999999,219.999936,2200.01695999488,0.045454922314159214,0.00044084417,0.03030328154277281,tiny,False,0.0,False,True
extreme_aspect_ratio,train,10019.jpg,10019.txt,4,0,Crack,0.994934,0.106041,0.10550379629399999,4584.655872,366.477696,1680174.1209234307,12.510054287178232,0.10550379629399999,9.382540715383673,large,True,0.0,False,True
extreme_aspect_ratio,train,10019.jpg,10019.txt,8,0,Crack,0.996674,0.0627334,0.06252474871159999,4592.673792,216.8066304,995722.1293699103,21.183271856246698,0.06252474871159999,15.887453892185025,medium,True,0.0,False,True
extreme_aspect_ratio,train,1003.JPG,1003.txt,5,1,Breakage,0.344664,0.037829,0.013038294456000002,943.000704,69.000096,65067.13910406759,13.666657855084724,0.013038294456000002,9.11110523672315,medium,True,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,5,4,Reinforcement,0.347447,0.0384039,0.013343319843299999,1601.035776,132.7238784,212495.67764787364,12.062906805472014,0.013343319843299999,9.047180104104012,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,8,4,Reinforcement,0.263772,0.0286703,0.0075624223716,1215.461376,99.0845568,120433.45174847815,12.266910356710602,0.0075624223716,9.200182767532953,small,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,9,4,Reinforcement,0.35373,0.0277058,0.009800372634,1629.98784,95.7512448,156073.36468886322,17.02315038728353,0.009800372634,12.767362790462647,small,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,13,4,Reinforcement,0.599556,0.0419302,0.025139502991199998,2762.754048,144.9107712,400352.81973160175,19.065208370100784,0.025139502991199998,14.29890627757559,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,14,4,Reinforcement,0.584957,0.0294124,0.0172049892668,2695.481856,101.64925439999999,273993.72091112816,26.517477889144264,0.0172049892668,19.888108416858195,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,16,4,Reinforcement,0.331753,0.031772,0.010540456316,1528.717824,109.804032,167859.3808654664,13.922237609635317,0.010540456316,10.441678207226488,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,17,4,Reinforcement,0.267106,0.0241897,0.0064612140082,1230.824448,83.5996032,102896.43546165904,14.722850359174911,0.0064612140082,11.042137769381183,small,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,19,4,Reinforcement,0.564757,0.0279311,0.0157742842427,2602.400256,96.5298816,251209.38858748967,26.95953017723374,0.0157742842427,20.219647632925305,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,21,4,Reinforcement,0.607024,0.0392959,0.023853554401600002,2797.166592,135.80663040000002,379873.7695269716,20.596686507583062,0.023853554401600002,15.447514880687297,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,22,4,Reinforcement,0.548652,0.0329083,0.0180552046116,2528.188416,113.7310848,287533.6111304737,22.229528720717873,0.0180552046116,16.672146540538407,medium,False,0.0,False,True
extreme_aspect_ratio,train,10061.jpg,10061.txt,26,4,Reinforcement,0.385147,0.0232888,0.0089696114536,1774.757376,80.4860928,142843.2868622205,22.050484925514986,0.0089696114536,16.537863694136238,small,False,0.0,False,True
extreme_aspect_ratio,train,10094.jpg,10094.txt,8,0,Crack,0.970313,0.118593,0.115072329609,4471.202304,409.857408,1832555.3869610683,10.909165521292714,0.115072329609,8.181874140969533,large,True,0.0,False,True
extreme_aspect_ratio,train,10105.jpg,10105.txt,1,0,Crack,0.999613,0.0949643,0.0949275488159,1087.5789439999999,77.4908688,84277.43725914655,14.034930319428808,0.0949275488159,10.526197739571607,medium,True,5.00000000069889e-07,True,True
extreme_aspect_ratio,train,10134.jpg,10134.txt,1,0,Crack,0.656095,0.0764816,0.050179195351999994,3936.5699999999997,305.9264,1204300.6884479998,12.867702820024684,0.050179195351999994,8.578468546683125,medium,False,0.0,False,True
extreme_aspect_ratio,train,10134.jpg,10134.txt,2,0,Crack,0.41593,0.0599995,0.024955592035,2495.58,239.998,598934.20884,10.39833665280544,0.024955592035,6.9322244352036275,medium,False,0.0,False,True
extreme_aspect_ratio,train,10147.jpg,10147.txt,5,0,Crack,0.991365,0.0931283,0.09232413712950001,4568.20992,321.8514048,1470284.7801732959,14.193537302839202,0.09232413712950001,10.645152977129403,medium,True,1.4999999997655777e-07,True,True
extreme_aspect_ratio,train,10147.jpg,10147.txt,8,0,Crack,0.700724,0.0853481,0.0598054620244,3228.936192,294.96303359999996,952416.814493152,10.9469181700198,0.0598054620244,8.210188627514848,medium,True,4.9999999918171056e-08,True,True
extreme_aspect_ratio,train,10209.jpg,10209.txt,1,1,Breakage,0.412218,0.049162,0.020265461316,1899.500544,169.90387199999998,322732.4972917063,11.17985435905781,0.020265461316,8.384890769293357,medium,False,0.0,False,True
extreme_aspect_ratio,train,10210.jpg,10210.txt,12,4,Reinforcement,0.0231036,0.315772,0.0072954699791999995,36.965759999999996,378.9264,14007.302360064,0.0975539313175329,0.0072954699791999995,0.07316544848814967,small,False,0.0,False,True
extreme_aspect_ratio,train,10224.jpg,10224.txt,1,0,Crack,0.998006,0.105681,0.10547027208599999,5461.0888319999995,385.524288,2105382.3836615514,14.16535611888608,0.10547027208599999,9.443570745924054,large,True,0.0,False,True
extreme_aspect_ratio,train,10224.jpg,10224.txt,2,0,Crack,0.667185,0.0994287,0.0663373372095,3650.8363200000003,362.7158976,1324216.3727994808,10.06527793283026,0.0663373372095,6.7101852885535065,medium,True,0.0,False,True
extreme_aspect_ratio,train,10242.jpg,10242.txt,4,0,Crack,0.996919,0.122025,0.121649040975,4593.802752,421.7184,1937291.146489037,10.893057433586014,0.121649040975,8.16979307518951,large,True,0.0,False,True
extreme_aspect_ratio,train,10264.jpg,10264.txt,3,4,Reinforcement,0.454506,0.0539594,0.0245248710564,2094.363648,186.48368639999998,390564.65374119196,11.230814278883754,0.0245248710564,8.423110709162815,medium,True,0.0,False,True
extreme_aspect_ratio,train,10268.jpg,10268.txt,4,0,Crack,0.908817,0.100994,0.091785064098,2064.8322239999998,172.093776,355344.7742346378,11.998296928530406,0.091785064098,8.998722696397806,medium,False,0.0,False,True
extreme_aspect_ratio,train,10268.jpg,10268.txt,5,0,Crack,0.778949,0.0734791,0.0572364714659,1769.772128,125.20838640000001,221590.31244257427,14.134613334494661,0.0572364714659,10.600960000870995,medium,False,0.0,False,True
extreme_aspect_ratio,train,10268.jpg,10268.txt,7,0,Crack,0.619102,0.0610465,0.037794010243,1406.599744,104.023236,146319.05712765158,13.521976416884398,0.037794010243,10.1414823126633,medium,False,0.0,False,True
extreme_aspect_ratio,train,10286.jpg,10286.txt,10,4,Reinforcement,0.0155836,0.232692,0.0036261790512,71.8092288,804.1835520000001,57747.800682764704,0.08929457537574705,0.0036261790512,0.06697093153181029,small,True,0.0,False,True
extreme_aspect_ratio,train,10303.jpg,10303.txt,1,0,Crack,0.995729,0.112806,0.112324205574,2039.252992,173.270016,353341.39855188783,11.769220313340307,0.112324205574,8.82691523500523,large,True,0.0,False,True
extreme_aspect_ratio,train,10306.jpg,10306.txt,1,0,Crack,0.998341,0.10507,0.10489568887,4600.355328000001,363.12192,1670489.8593855898,12.668900098347136,0.10489568887,9.501675073760351,large,True,0.0,False,True
extreme_aspect_ratio,train,10306.jpg,10306.txt,3,0,Crack,0.850206,0.102448,0.08710190428799999,3917.749248,354.060288,1387119.4270586635,11.065203810713728,0.08710190428799999,8.298902858035296,medium,True,0.0,False,True
extreme_aspect_ratio,train,10306.jpg,10306.txt,4,0,Crack,0.846901,0.0889299,0.0753148212399,3902.519808,307.3417344,1199407.206321075,12.697656618677557,0.0753148212399,9.523242464008169,medium,True,0.0,False,True
extreme_aspect_ratio,train,10327.jpg,10327.txt,2,0,Crack,0.793426,0.110755,0.08787589663,2742.0802559999997,255.17952000000002,699722.7235275571,10.745690939460971,0.08787589663,7.163793959640648,medium,True,0.0,False,True
extreme_aspect_ratio,train,10337.jpg,10337.txt,7,0,Crack,0.978635,0.0503158,0.049240802933000004,4509.55008,173.8914048,784171.9984271524,25.933139623471487,0.049240802933000004,19.449854717603618,medium,True,0.0,False,True
extreme_aspect_ratio,train,10396.jpg,10396.txt,1,0,Crack,0.0609706,0.921677,0.056195199696199995,280.9525248,3185.315712,894922.4915715095,0.08820241075054855,0.056195199696199995,0.06615180806291142,medium,True,0.0,False,True
extreme_aspect_ratio,train,10415.jpg,10415.txt,6,4,Reinforcement,0.367984,0.0423484,0.015583533625599999,1695.6702719999998,146.3560704,248171.63770401914,11.58592374997245,0.015583533625599999,8.689442812479337,medium,False,0.0,False,True
extreme_aspect_ratio,train,10415.jpg,10415.txt,7,4,Reinforcement,0.44011,0.0391329,0.017222780619,2028.02688,135.2433024,274277.05260716856,14.995396030790799,0.017222780619,11.2465470230931,medium,False,0.0,False,True
extreme_aspect_ratio,train,10415.jpg,10415.txt,10,4,Reinforcement,0.439415,0.0435962,0.019156824223,2024.82432,150.6684672,305077.1766436823,13.438938867760644,0.019156824223,10.079204150820484,medium,False,0.0,False,True
extreme_aspect_ratio,train,10415.jpg,10415.txt,15,4,Reinforcement,0.352093,0.0330033,0.0116202309069,1622.444544,114.0594048,185055.0590096474,14.224557342245573,0.0116202309069,10.66841800668418,medium,False,0.0,False,True
extreme_aspect_ratio,train,10415.jpg,10415.txt,16,4,Reinforcement,0.393626,0.0366978,0.0144452082228,1813.8286079999998,126.82759680000001,230043.52335972927,14.301529428648763,0.0144452082228,10.726147071486572,medium,False,0.0,False,True
extreme_aspect_ratio,train,10415.jpg,10415.txt,19,4,Reinforcement,0.419892,0.0381962,0.0160382788104,1934.862336,132.0060672,255413.56754876496,14.657374293777915,0.0160382788104,10.993030720333437,medium,False,0.0,False,True
extreme_aspect_ratio,train,10417.jpg,10417.txt,1,0,Crack,0.7872,0.0901507,0.07096663104,3627.4176,311.5608192,1130161.199036498,11.642727122473813,0.07096663104,8.73204534185536,medium,True,0.0,False,True
extreme_aspect_ratio,train,10424.jpg,10424.txt,2,0,Crack,0.876143,0.124528,0.109104335504,420.54864,39.84896,16758.4259334144,10.553566266221251,0.109104335504,7.035710844147501,large,True,5.00000000069889e-07,True,True
extreme_aspect_ratio,train,10436.jpg,10436.txt,2,4,Reinforcement,0.0368608,0.511962,0.0188713288896,169.8545664,1769.340672,300530.59265644464,0.09599879157697902,0.0188713288896,0.07199909368273426,medium,False,0.0,False,True
extreme_aspect_ratio,train,10436.jpg,10436.txt,16,4,Reinforcement,0.0451218,0.621732,0.028053666957599997,207.92125439999998,2148.7057919999997,446761.60360918543,0.09676580906242561,0.028053666957599997,0.07257435679681921,medium,False,0.0,False,True
extreme_aspect_ratio,train,10436.jpg,10436.txt,31,4,Reinforcement,0.567864,0.0614685,0.034905748284000004,2616.717312,212.435136,555882.6980482745,12.317723712145247,0.034905748284000004,9.238292784108934,medium,False,0.0,False,True
extreme_aspect_ratio,train,10460.jpg,10460.txt,10,0,Crack,0.0713741,0.972652,0.06942216111319999,185.00166719999999,1890.835488,349807.71768092556,0.09784122858603762,0.06942216111319999,0.07338092143952822,medium,False,0.0,False,True
extreme_aspect_ratio,train,10475.jpg,10475.txt,1,0,Crack,0.895788,0.106853,0.095717635164,4127.791104,369.283968,1524327.0779602206,11.177823739155661,0.095717635164,8.383367804366747,medium,True,0.0,False,True
extreme_aspect_ratio,train,10477.jpg,10477.txt,1,1,Breakage,0.862037,0.0911859,0.0786056196783,1379.2592000000002,109.42308,150922.789782336,12.604828889846642,0.0786056196783,9.45362166738498,medium,True,0.0,False,True
extreme_aspect_ratio,train,10479.jpg,10479.txt,9,4,Reinforcement,0.0558896,0.771566,0.0431225151136,257.5392768,2666.532096,686736.7475678282,0.09658210271923162,0.0431225151136,0.07243657703942372,medium,False,0.0,False,True
extreme_aspect_ratio,train,10491.jpg,10491.txt,1,0,Crack,0.998548,0.139329,0.139126694292,5991.288,470.374704,2818150.319578752,12.73726658566231,0.139126694292,7.166835332199327,large,True,0.0,False,True
extreme_aspect_ratio,train,10491.jpg,10491.txt,3,0,Crack,0.87967,0.136944,0.12046552848,5278.0199999999995,462.322944,2440149.7448908803,11.416305568429673,0.12046552848,6.423574599836429,large,True,0.0,False,True
extreme_aspect_ratio,train,10491.jpg,10491.txt,4,0,Crack,0.824825,0.120716,0.09956957470000001,4948.95,407.537216,2016881.3051232002,12.143553534997892,0.09956957470000001,6.832772789025482,medium,True,0.0,False,True
extreme_aspect_ratio,train,10499.jpg,10499.txt,1,0,Crack,0.783133,0.0883234,0.06916896921219999,1779.278176,150.5030736,267786.83427740174,11.82220491209955,0.06916896921219999,8.866653684074661,medium,True,4.999999999588667e-07,True,True
extreme_aspect_ratio,train,10512.jpg,10512.txt,2,0,Crack,0.998511,0.121768,0.12158668744800001,4601.138688,420.830208,1936298.1511078873,10.93348006044281,0.12158668744800001,8.200110045332107,large,True,1.9999999999881224e-07,True,True
extreme_aspect_ratio,train,10520.jpg,10520.txt,3,4,Reinforcement,0.476047,0.0586558,0.0279229176226,2193.624576,202.7144448,444679.3880234754,10.821254391438416,0.0279229176226,8.11594079357881,medium,False,0.0,False,True
extreme_aspect_ratio,train,10520.jpg,10520.txt,4,4,Reinforcement,0.470021,0.0600338,0.028217146709800002,2165.856768,207.4768128,449365.0592059491,10.43903045728684,0.028217146709800002,7.82927284296513,medium,False,0.0,False,True
extreme_aspect_ratio,train,10556.jpg,10556.txt,5,4,Reinforcement,0.15501,0.0200892,0.0031140268920000005,168.65088,16.3927872,2764.6579869327365,10.288115007068475,0.0031140268920000005,7.716086255301356,small,False,0.0,False,True
extreme_aspect_ratio,train,1056.JPG,1056.txt,1,4,Reinforcement,0.444444,0.038925,0.0172999827,1215.9987840000001,70.9992,86334.94086497281,17.12693641618497,0.0172999827,11.41795761078998,medium,False,0.0,False,True
extreme_aspect_ratio,train,10574.jpg,10574.txt,2,2,Comb,0.959019,0.0919309,0.08816347978709999,1534.4304,110.31707999999999,169273.88119123198,13.90927316060215,0.08816347978709999,10.43195487045161,medium,True,4.499999999296733e-07,True,True
extreme_aspect_ratio,train,1058.JPG,1058.txt,2,1,Breakage,0.999269,0.104167,0.10409085392299999,2733.999984,190.000608,519461.6592319902,14.389427553831828,0.10409085392299999,9.592951702554553,large,True,0.0,False,True
extreme_aspect_ratio,train,10583.jpg,10583.txt,2,0,Crack,0.997434,0.12022,0.11991151548,478.76832,38.4704,18418.408777728,12.44510896689403,0.11991151548,8.296739311262685,large,True,0.0,False,True
extreme_aspect_ratio,train,10590.jpg,10590.txt,2,0,Crack,0.999192,0.118602,0.118506169584,2046.345216,182.172672,372788.1758331371,11.232997757204767,0.118506169584,8.424748317903576,large,True,0.0,False,True
extreme_aspect_ratio,train,10619.jpg,10619.txt,2,0,Crack,0.841841,0.0920884,0.0775237907444,3879.2033279999996,318.2575104,1234585.5935046745,12.188882276884673,0.0775237907444,9.141661707663506,medium,True,0.0,False,True
extreme_aspect_ratio,train,10620.jpg,10620.txt,1,0,Crack,0.998975,0.140918,0.14077355904999997,479.508,45.093759999999996,21622.818670079996,10.633577683475497,0.14077355904999997,7.089051788983665,large,True,4.999999999588667e-07,True,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,6,4,Reinforcement,0.422898,0.0435933,0.0184355193834,1948.713984,150.6584448,293590.2181894521,12.93464821428981,0.0184355193834,9.700986160717358,medium,False,0.0,False,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,15,4,Reinforcement,0.433841,0.0568743,0.0246744031863,1999.139328,196.5575808,392945.9899938177,10.17075668037526,0.0246744031863,7.628067510281444,medium,False,0.0,False,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,16,4,Reinforcement,0.49845,0.0511686,0.025504988670000003,2296.8576,176.8386816,406173.2698069402,12.98843431323116,0.025504988670000003,9.74132573492337,medium,False,0.0,False,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,18,4,Reinforcement,0.550442,0.0518463,0.028538381064599997,2536.436736,179.18081279999998,454480.795972259,14.155738532289995,0.028538381064599997,10.616803899217494,medium,False,0.0,False,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,22,4,Reinforcement,0.340851,0.0384593,0.013108890864300001,1570.641408,132.9153408,208762.33801891186,11.816855741004126,0.013108890864300001,8.862641805753094,medium,False,0.0,False,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,23,4,Reinforcement,0.51594,0.0568044,0.029307662135999998,2377.4515199999996,196.3160064,466731.78781600966,12.110329481519036,0.029307662135999998,9.082747111139277,medium,False,0.0,False,True
extreme_aspect_ratio,train,10623.jpg,10623.txt,39,4,Reinforcement,0.607702,0.0637919,0.0387664652138,2800.2908159999997,220.4648064,617365.572613138,12.701758896244403,0.0387664652138,9.526319172183301,medium,False,0.0,False,True
extreme_aspect_ratio,train,10642.jpg,10642.txt,2,4,Reinforcement,0.441305,0.0544242,0.024017671581,2033.53344,188.0900352,382487.37630997703,10.811489496706734,0.024017671581,8.10861712253005,medium,False,0.0,False,True
extreme_aspect_ratio,train,1066.JPG,1066.txt,3,4,Reinforcement,0.022661,0.418311,0.009479345571,62.000496,762.9992639999999,47306.332815634945,0.08125891979890561,0.009479345571,0.0541726131992704,small,False,0.0,False,True
extreme_aspect_ratio,train,1066.JPG,1066.txt,7,4,Reinforcement,0.154605,0.021382,0.00330576411,422.99928,39.000768,16497.29678344704,10.845921803386025,0.00330576411,7.230614535590683,small,False,0.0,False,True
extreme_aspect_ratio,train,10679.jpg,10679.txt,1,0,Crack,0.911592,0.0932731,0.08502701177519999,1458.5472,111.92772,163251.86260838396,13.031152604555869,0.08502701177519999,9.773364453416901,medium,True,0.0,False,True
extreme_aspect_ratio,train,10679.jpg,10679.txt,2,0,Crack,0.988218,0.128648,0.127132269264,1581.1488000000002,154.3776,244093.95698688002,10.242086934892109,0.127132269264,7.681565201169081,large,True,0.0,False,True
extreme_aspect_ratio,train,10686.jpg,10686.txt,4,4,Reinforcement,0.0421598,0.56343,0.023754096114,194.27235839999997,1947.21408,378289.8716312863,0.09976938868478188,0.023754096114,0.07482704151358642,medium,True,0.0,False,True
extreme_aspect_ratio,train,10686.jpg,10686.txt,5,4,Reinforcement,0.385201,0.050381,0.019406811581,1775.006208,174.116736,309058.28731669707,10.194345752036151,0.019406811581,7.645759314027114,medium,True,0.0,False,True
extreme_aspect_ratio,train,10686.jpg,10686.txt,7,4,Reinforcement,0.0358087,0.601947,0.0215549395389,165.0064896,2080.328832,343267.7577819881,0.07931750358974018,0.0215549395389,0.05948812769230513,medium,True,3.499999998712866e-07,True,True
extreme_aspect_ratio,train,10686.jpg,10686.txt,9,4,Reinforcement,0.508456,0.0598493,0.0304307356808,2342.965248,206.8391808,484617.01253918884,11.327473058721377,0.0304307356808,8.495604794041034,medium,True,0.0,False,True
extreme_aspect_ratio,train,10686.jpg,10686.txt,10,4,Reinforcement,0.0289581,0.749786,0.0217123779666,133.4389248,2591.2604159999996,345775.0037878407,0.05149576012355526,0.0217123779666,0.038621820092666445,medium,True,4.9999999918171056e-08,True,True
