view,split,metric,count,mean,min,p01,p05,p25,median,p75,p95,p99,max
RAW_VALIDATED_INVENTORY,test,image_aspect_ratio,1113,1.3447513416055292,0.6435643564356436,0.8198062953995163,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.7789147286821705,1.7793594306049823
PROVISIONAL_BASELINE_ELIGIBLE,all,width,10411,4188.258956872539,250.0,480.0,1600.0,3888.0,4608.0,5184.0,5184.0,6000.0,6000.0
PROVISIONAL_BASELINE_ELIGIBLE,all,height,10411,3134.01306310633,132.0,320.0,1200.0,2736.0,3456.0,3888.0,3888.0,4208.0,5184.0
PROVISIONAL_BASELINE_ELIGIBLE,all,megapixels,10411,14.43793028738834,0.033,0.1536,1.92,9.964544,15.925248,20.155392,20.155392,20.256,24.0
PROVISIONAL_BASELINE_ELIGIBLE,all,image_aspect_ratio,10411,1.3480378507342559,0.5627376425855514,0.75,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.7772511848341233,1.893939393939394
PROVISIONAL_BASELINE_ELIGIBLE,train,width,8314,4139.338946355545,265.0,480.0,1600.0,3456.0,4608.0,5184.0,5184.0,5472.0,6000.0
PROVISIONAL_BASELINE_ELIGIBLE,train,height,8314,3092.9239836420497,170.0,320.0,1200.0,2304.0,3456.0,3888.0,3888.0,4000.0,5184.0
PROVISIONAL_BASELINE_ELIGIBLE,train,megapixels,8314,14.104335608852539,0.04505,0.1536,1.92,7.962624,15.925248,20.155392,20.155392,20.155392,24.0
PROVISIONAL_BASELINE_ELIGIBLE,train,image_aspect_ratio,8314,1.350125638444266,0.6662162162162162,0.75,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.7772511848341233,1.7802197802197801
PROVISIONAL_BASELINE_ELIGIBLE,valid,width,1044,4281.150383141762,250.0,480.0,1600.0,4000.0,4608.0,5184.0,5184.0,6000.0,6000.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,height,1044,3245.0095785440612,132.0,320.0,1200.0,3299.0,3888.0,3888.0,3888.0,5184.0,5184.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,megapixels,1044,15.164494915708813,0.033,0.1536,1.92,12.0,20.155392,20.155392,20.155392,20.256,24.0
PROVISIONAL_BASELINE_ELIGIBLE,valid,image_aspect_ratio,1044,1.3367733553972483,0.5627376425855514,0.5627376425855514,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5291441441441418,1.7777777777777777,1.893939393939394
PROVISIONAL_BASELINE_ELIGIBLE,test,width,1053,4482.4112060778725,313.0,480.0,1574.4,4608.0,5184.0,5184.0,5184.0,5725.44000000001,6000.0
PROVISIONAL_BASELINE_ELIGIBLE,test,height,1053,3348.385565052232,220.0,320.0,1200.0,3456.0,3888.0,3888.0,3888.0,3888.0,5184.0
PROVISIONAL_BASELINE_ELIGIBLE,test,megapixels,1053,16.351484594491932,0.06886,0.1536,1.92,15.925248,20.155392,20.155392,20.155392,20.20368384,24.0
PROVISIONAL_BASELINE_ELIGIBLE,test,image_aspect_ratio,1053,1.3427218641348346,0.6435643564356436,1.332558514931396,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.7777777777777777,1.7793594306049823
